orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,survey,original_index
19.89913995,14.6,1.7822,10829.0,638.0,39.3,5853.0,0.868,4.544,Kepler,2
40.4195037,7.51,3.362,6256.0,467.0,11.29,5446.0,0.781,4.507,Kepler,58
7.2406612,19.45,0.558,556.4,734.0,68.63,5005.0,0.765,4.595,Kepler,62
3.43591631,0.55,3.133,23.2,1272.0,617.61,5779.0,1.087,4.339,Kepler,63
10.181584004,7.73,3.5089,5741.1,812.0,102.91,5988.0,0.836,4.541,Kepler,84
19.620346923,13.6,2.0038,21725.0,643.0,40.39,5710.0,0.905,4.492,Kepler,92
34.84398644,7.61,2.9315,4523.6,511.0,16.1,5509.0,0.871,4.482,Kepler,112
4.64090031,30.09,35.512,2450.6,1155.0,421.08,6463.0,0.826,4.5,Kepler,118
1.028436523,72.77,1.8606,8098.0,1947.0,3400.48,6228.0,0.99,4.428,Kepler,123
235.9986399,10.59,8.2284,20715.0,188.0,0.29,4245.0,0.657,4.627,Kepler,166
39.74893077,14.21,7.3051,15179.0,552.0,21.87,6122.0,0.964,4.487,Kepler,172
13.61014819,19.02,2.594,5732.9,733.0,68.29,5697.0,0.903,4.46,Kepler,176
119.0207044,8.98,8.1405,7430.5,366.0,4.25,5453.0,1.062,4.342,Kepler,184
12.940668656,22.94,2.4845,42450.0,723.0,64.64,5875.0,0.809,4.572,Kepler,195
2.688899233,12.04,2.11275,37492.0,929.0,175.76,4820.0,0.639,4.667,Kepler,216
12.732624065,4.87,2.2083,6465.7,432.0,8.22,3950.0,0.541,4.721,Kepler,230
83.92494032,4.78,6.7904,7958.7,226.0,0.62,3960.0,0.509,4.746,Kepler,231
3.886655224,1.87,3.1646,581.6,1010.0,246.29,5662.0,0.738,4.61,Kepler,253
2.494170338,2.42,1.1221,863.7,1194.0,480.19,5569.0,0.829,4.566,Kepler,269
39.4759093,4.06,2.968,1012.6,577.0,26.13,6225.0,1.031,4.45,Kepler,287
9.61731426,1.94,3.8692,234.0,1010.0,246.13,6035.0,1.257,4.22,Kepler,304
90.1240507,7.12,11.649,3020.3,485.0,13.09,6520.0,1.215,4.375,Kepler,316
856.672115,3.87,23.144,858.1,242.0,0.81,6449.0,1.309,4.232,Kepler,318
0.689210173,1.32,1.6169,195.0,1943.0,3362.71,5630.0,0.954,4.505,Kepler,319
3.9886021,34.39,1.7376,673.5,3145.0,23135.72,4813.0,13.652,2.472,Kepler,326
0.533059312,133.56,1.8621,1495.8,5862.0,277887.7,8523.0,4.051,3.559,Kepler,327
129995.7784,2.99,9.408,1474.9,25.0,0.0,4500.0,0.726,4.572,Kepler,341
13.118962443,8.25,4.3045,372.2,1768.0,2310.43,7221.0,4.24,3.488,Kepler,345
7.82187328,2.78,3.8417,42.2,2101.0,4601.71,7221.0,4.24,3.488,Kepler,347
53.5057611,2.52,10.5616,195.6,675.0,49.16,6247.0,1.762,4.016,Kepler,348
13.4471791,5.24,3.0454,1428.2,848.0,122.34,6276.0,1.041,4.405,Kepler,361
7.37290344,2.67,2.172,205.2,1004.0,240.11,5973.0,1.07,4.371,Kepler,403
119.0624882,10.4,3.1188,5372.3,366.0,4.26,5697.0,0.92,4.392,Kepler,405
14.8623076,1.57,3.161,840.0,454.0,10.08,4362.0,0.554,4.722,Kepler,407
16.15811112,86.13,6.049,2319.8,660.0,44.83,5619.0,0.874,4.536,Kepler,433
1295.362215,57.82,28.297,8708.0,169.0,0.19,5609.0,1.048,4.346,Kepler,454
4.2989201,2.12,2.747,237.6,1046.0,283.62,5300.0,0.986,4.385,Kepler,456
5.714817603,9.29,3.14126,12295.0,943.0,187.27,5695.0,0.842,4.526,Kepler,462
2.83668931,1.19,3.031,166.1,1242.0,562.48,5831.0,0.921,4.517,Kepler,467
2.624234833,5.11,1.3874,2607.0,1164.0,434.31,5340.0,0.899,4.514,Kepler,483
92.77779,1.92,6.64,359.0,410.0,6.7,5888.0,1.019,4.444,Kepler,486
422.917678,5.89,31.274,1367.7,292.0,1.73,5796.0,1.444,4.12,Kepler,495
30.5872153,2.32,5.3698,464.8,621.0,35.08,5944.0,1.082,4.38,Kepler,531
9.95639775,28.15,5.615,510.5,905.0,158.42,6161.0,1.053,4.454,Kepler,545
31.201692472,8.31,2.15663,34514.0,286.0,1.59,3748.0,0.449,4.796,Kepler,558
6.810823723,26.06,7.98574,14447.0,1626.0,1656.16,7226.0,2.079,3.967,Kepler,574
51.59809554,6.57,2.0153,5869.2,449.0,9.61,5681.0,0.859,4.551,Kepler,613
1500.0,9.8,7.109,9592.0,139.0,0.09,5606.0,0.76,4.597,Kepler,614
1500.1406772,18.35,25.727,4129.9,206.0,0.42,5009.0,2.283,3.755,Kepler,627
20.51360192,2.58,3.4769,1174.1,540.0,20.15,5310.0,0.704,4.608,Kepler,660
0.783276173,1.98,1.6735,264.7,2149.0,5056.88,5640.0,1.233,4.247,Kepler,667
3.17405898,2.09,2.3156,282.2,1348.0,780.46,5640.0,1.233,4.247,Kepler,668
345.1589354,7.79,7.5646,5087.9,241.0,0.8,5597.0,0.931,4.515,Kepler,686
99.6442783,8.48,5.1772,3215.6,415.0,6.98,6102.0,1.016,4.447,Kepler,688
19.03723442,5.74,3.3882,401.3,1051.0,288.04,5248.0,2.892,3.523,Kepler,708
0.576078683,23.23,1.63253,10085.0,1982.0,3647.63,5693.0,0.816,4.57,Kepler,713
78.9257421,11.9,7.5193,17972.0,398.0,5.94,5750.0,0.882,4.538,Kepler,733
6.84639884,1.9,3.4919,149.7,1132.0,387.84,6065.0,1.31,4.251,Kepler,736
268.9410974,13.57,5.4434,9010.2,321.0,2.52,5798.0,1.306,4.224,Kepler,797
80.9669561,5.04,2.5276,4733.0,364.0,4.14,5611.0,0.737,4.61,Kepler,799
6.80082032,1.88,1.9883,699.9,697.0,55.83,4805.0,0.688,4.633,Kepler,802
54.325574,0.76,9.86,44.2,545.0,20.85,6343.0,1.137,4.411,Kepler,811
162.0479502,11.52,9.8974,4840.5,437.0,8.65,6309.0,1.567,4.16,Kepler,819
1.694740233,2.12,1.6864,1446.8,797.0,95.14,3764.0,0.527,4.739,Kepler,832
15.068060768,16.43,3.3011,19387.0,742.0,71.78,5982.0,0.96,4.493,Kepler,835
6.247030799,1.89,1.4848,1496.6,512.0,16.23,3821.0,0.487,4.764,Kepler,853
700.00298217,6.43,7.6525,3245.9,238.0,0.76,6487.0,1.118,4.397,Kepler,855
272.0868353,5.95,2.7145,5572.0,251.0,0.93,5587.0,0.791,4.548,Kepler,856
42.0370662,1.66,6.282,266.8,527.0,18.16,5823.0,0.96,4.427,Kepler,867
21.0112068,1.4,4.507,163.6,663.0,45.79,5823.0,0.96,4.427,Kepler,868
8.75059775,2.27,2.8288,881.9,682.0,51.0,4942.0,0.779,4.599,Kepler,871
1.714274727,25.0,2.06728,28460.0,827.0,110.02,3874.0,0.535,4.715,Kepler,944
3.014330766,2.87,2.4747,975.3,1124.0,377.79,5209.0,0.953,4.446,Kepler,957
13.35151248,4.44,3.6045,3308.8,585.0,27.77,4843.0,0.754,4.562,Kepler,961
1693.6636225,10.23,22.604,9515.3,157.0,0.14,5923.0,1.021,4.445,Kepler,962
104.8205868,6.45,4.4794,3920.1,376.0,4.74,5986.0,0.85,4.527,Kepler,981
34.2966363,3.29,19.718,696.6,584.0,27.6,5490.0,1.167,4.263,Kepler,995
31.56904354,11.18,2.6364,4229.4,575.0,25.83,5654.0,0.998,4.387,Kepler,1034
0.840594032,0.62,1.404,49.8,1780.0,2368.31,5440.0,0.885,4.438,Kepler,1052
20.6654374,0.66,3.172,100.4,487.0,13.35,4830.0,0.676,4.605,Kepler,1061
69.8347983,3.51,8.262,266.6,765.0,80.97,7732.0,2.022,4.075,Kepler,1063
2.59488443,2.36,1.684,592.2,1014.0,249.92,4748.0,0.797,4.526,Kepler,1065
19.18109525,1.72,2.424,865.4,513.0,16.42,5214.0,0.587,4.673,Kepler,1067
11.30507984,1.4,3.989,278.4,744.0,72.67,5705.0,0.844,4.556,Kepler,1101
9.9824036,1.17,1.09,83.9,966.0,205.65,6273.0,1.139,4.364,Kepler,1105
12.681733929,7.25,1.6866,5879.1,601.0,30.84,4976.0,0.701,4.577,Kepler,1106
83.09708021,13.83,9.2639,15860.0,329.0,2.78,5286.0,0.636,4.627,Kepler,1109
0.839961456,1.63,1.3008,492.9,1455.0,1066.37,4932.0,0.718,4.618,Kepler,1111
7.136922,1.38,2.8005,221.6,956.0,197.05,6086.0,0.921,4.511,Kepler,1120
5.83393857,1.98,4.5813,134.4,1285.0,642.83,5597.0,1.699,3.963,Kepler,1138
6.33027476,1.02,3.67,89.2,1046.0,283.31,5900.0,1.07,4.363,Kepler,1143
5.59728249,3.28,1.795,1407.3,930.0,176.53,5610.0,0.858,4.551,Kepler,1146
23.3397956,1.23,1.923,125.1,653.0,43.02,5671.0,1.084,4.36,Kepler,1158
51.3901452,3.62,5.995,494.0,570.0,24.98,6074.0,1.292,4.284,Kepler,1166
186.4361811,11.32,5.774,4347.0,353.0,3.66,5393.0,1.37,4.132,Kepler,1180
35.6364022,1.99,4.888,452.6,537.0,19.62,5926.0,0.887,4.532,Kepler,1185
