orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,disposition,survey
9.48803557,2.26,2.9575,615.8,793.0,93.59,5455.0,0.927,4.467,CONFIRMED,Kepler
54.4183827,2.83,4.507,874.8,443.0,9.11,5455.0,0.927,4.467,CONFIRMED,Kepler
19.89913995,14.6,1.7822,10829.0,638.0,39.3,5853.0,0.868,4.544,CANDIDATE,Kepler
1.736952453,33.46,2.40641,8079.2,1395.0,891.96,5805.0,0.791,4.564,FALSE POSITIVE,Kepler
2.525591777,2.75,1.6545,603.3,1406.0,926.16,6031.0,1.046,4.438,CONFIRMED,Kepler
11.09432054,3.9,4.5945,1517.5,835.0,114.81,6046.0,0.972,4.486,CONFIRMED,Kepler
4.13443512,2.77,3.1402,686.0,1160.0,427.65,6046.0,0.972,4.486,CONFIRMED,Kepler
2.56658897,1.59,2.429,226.5,1360.0,807.74,6046.0,0.972,4.486,CONFIRMED,Kepler
7.36178958,39.21,5.022,233.7,1342.0,767.22,6227.0,1.958,3.986,FALSE POSITIVE,Kepler
16.06864674,5.76,3.5347,4914.3,600.0,30.75,5031.0,0.848,4.485,CONFIRMED,Kepler
2.470613377,13.04,1.74319,14231.0,1339.0,761.46,5820.0,0.964,4.457,CONFIRMED,Kepler
2.204735417,16.1,3.88864,6674.7,2048.0,4148.92,6440.0,1.952,4.019,CONFIRMED,Kepler
3.522498429,14.59,3.19843,9145.7,1521.0,1264.67,6225.0,1.451,4.169,CONFIRMED,Kepler
3.709214104,1.16,2.6302,131.1,1206.0,500.46,5833.0,1.022,4.407,CONFIRMED,Kepler
11.521446064,150.51,3.6399,17984.0,753.0,75.88,5795.0,0.848,4.554,FALSE POSITIVE,Kepler
19.40393776,7.18,12.2155,8918.7,523.0,17.69,5043.0,0.68,4.591,FALSE POSITIVE,Kepler
19.221388942,49.29,4.79843,74284.0,698.0,55.97,6117.0,0.947,4.496,FALSE POSITIVE,Kepler
16.46983774,7.94,9.4378,10479.0,595.0,29.61,5152.0,0.786,4.517,FALSE POSITIVE,Kepler
9.27358173,2.47,3.2875,1288.3,649.0,41.85,4856.0,0.696,4.583,CONFIRMED,Kepler
6.02930329,2.85,1.5821,1912.7,678.0,50.04,4537.0,0.672,4.648,CONFIRMED,Kepler
2.696370652,1.58,3.6129,397.9,1066.0,305.34,4989.0,0.819,4.504,FALSE POSITIVE,Kepler
5.349553819,2.55,3.0278,831.0,919.0,168.99,5185.0,0.91,4.44,CONFIRMED,Kepler
3.94105221,1.7,2.5984,363.3,1018.0,253.15,5185.0,0.91,4.44,CONFIRMED,Kepler
8.10904807,1.3,3.596,217.4,800.0,97.03,5185.0,0.91,4.44,CONFIRMED,Kepler
386.6030528,41.5,6.8057,24927.0,297.0,1.84,5543.0,1.58,4.081,FALSE POSITIVE,Kepler
21.67699193,2.95,3.4555,857.2,530.0,18.64,4954.0,0.828,4.5,CONFIRMED,Kepler
4.99677968,2.78,2.1717,934.7,917.0,166.95,5339.0,0.847,4.552,CONFIRMED,Kepler
4.280963604,2.3,2.875,750.8,1012.0,247.87,5644.0,0.831,4.564,CONFIRMED,Kepler
1.50635409,4.53,1.5155,2211.7,1452.0,1054.12,5714.0,0.831,4.563,FALSE POSITIVE,Kepler
670.645531,14.14,53.412,18091.0,196.0,0.35,5520.0,0.983,4.466,FALSE POSITIVE,Kepler
61.2563628,39.87,7.633,5123.3,505.0,15.43,6144.0,1.091,4.402,FALSE POSITIVE,Kepler
38.3775486,2.82,5.588,724.2,529.0,18.53,5481.0,1.036,4.369,CONFIRMED,Kepler
41.19725502,3.86,4.6297,2213.9,439.0,8.76,5031.0,0.848,4.485,CONFIRMED,Kepler
6.252962249,2.65,2.5819,1036.9,823.0,108.3,5031.0,0.848,4.485,CONFIRMED,Kepler
16.01308419,3.1,3.2554,1121.9,593.0,29.31,5015.0,0.826,4.499,CONFIRMED,Kepler
32.62876672,3.36,4.7971,1804.8,506.0,15.55,5586.0,0.798,4.56,CONFIRMED,Kepler
91.7732862,2.12,6.473,652.0,359.0,3.92,5586.0,0.798,4.56,CONFIRMED,Kepler
4.959319244,12.21,2.22739,9802.0,1103.0,349.4,5712.0,1.082,4.359,CONFIRMED,Kepler
2.701287801,6.54,3.3827,860.4,1222.0,527.81,5550.0,0.91,4.468,FALSE POSITIVE,Kepler
4.49876511,2.1,3.7362,460.0,1133.0,389.62,6075.0,0.969,4.486,CONFIRMED,Kepler
19.651209505,12.42,5.2514,11766.0,730.0,67.03,6074.0,1.063,4.391,FALSE POSITIVE,Kepler
5.412203927,2.94,2.9472,601.6,1093.0,337.68,5779.0,1.087,4.339,CONFIRMED,Kepler
41.43958662,5.5,10.5989,2793.1,516.0,16.72,5468.0,1.046,4.367,CONFIRMED,Kepler
8.35389523,2.52,2.2514,1041.6,790.0,91.9,5592.0,0.787,4.582,CONFIRMED,Kepler
4.125543472,4.43,3.1744,1487.3,1243.0,565.35,6174.0,1.103,4.417,CONFIRMED,Kepler
2.816504904,12.21,2.50587,16814.0,1219.0,521.13,5532.0,0.955,4.452,CONFIRMED,Kepler
33.93373447,7.34,14.561,8503.7,430.0,8.11,5040.0,0.705,4.628,FALSE POSITIVE,Kepler
3.689920099,1.89,2.6557,426.7,1147.0,408.99,5880.0,0.917,4.518,CONFIRMED,Kepler
4.431238488,3.25,3.15,1010.9,1104.0,351.23,5714.0,1.015,4.428,CONFIRMED,Kepler
11.37936986,3.95,2.6255,1023.5,806.0,99.68,5714.0,1.015,4.428,CONFIRMED,Kepler
26.39432897,3.07,3.573,1510.9,489.0,13.49,5129.0,0.763,4.595,CONFIRMED,Kepler
13.57078281,2.64,3.3539,511.7,785.0,89.61,5854.0,1.012,4.406,CONFIRMED,Kepler
7.12594387,1.79,3.0014,192.4,997.0,233.31,5779.0,1.087,4.339,CONFIRMED,Kepler
7.442652004,15.03,2.3078,24446.0,967.0,206.78,6108.0,0.956,4.469,FALSE POSITIVE,Kepler
16.38489988,2.0,3.0249,1127.1,433.0,8.35,4126.0,0.615,4.661,CONFIRMED,Kepler
7.8774163,2.16,2.0805,1306.1,553.0,22.18,4126.0,0.615,4.661,CONFIRMED,Kepler
36.4454001,1.99,4.007,1122.3,332.0,2.88,4126.0,0.615,4.661,CONFIRMED,Kepler
3.728732147,6.02,2.683,5226.5,1023.0,258.34,5497.0,0.809,4.577,CONFIRMED,Kepler
40.4195037,7.51,3.362,6256.0,467.0,11.29,5446.0,0.781,4.507,CANDIDATE,Kepler
2.243380573,1.99,1.1196,821.7,822.0,107.6,4149.0,0.564,4.698,CONFIRMED,Kepler
10.405998015,11.23,6.5036,14489.0,833.0,113.94,5746.0,0.924,4.393,FALSE POSITIVE,Kepler
2.337437946,2.34,1.9982,971.2,1070.0,311.16,5005.0,0.765,4.595,CONFIRMED,Kepler
7.2406612,19.45,0.558,556.4,734.0,68.63,5005.0,0.765,4.595,CANDIDATE,Kepler
3.43591631,0.55,3.133,23.2,1272.0,617.61,5779.0,1.087,4.339,CANDIDATE,Kepler
11.59822233,2.65,2.5237,2804.5,396.0,5.82,3688.0,0.473,4.79,CONFIRMED,Kepler
6.575315881,5.31,4.3084,2793.3,1015.0,251.38,5992.0,0.989,4.415,CONFIRMED,Kepler
7.275040844,4.86,7.5377,3001.0,833.0,113.64,5485.0,0.867,4.556,CONFIRMED,Kepler
19.27153892,1.93,2.7594,1219.8,393.0,5.66,4077.0,0.56,4.702,CONFIRMED,Kepler
10.06524317,1.91,1.369,1053.3,488.0,13.43,4077.0,0.56,4.702,CONFIRMED,Kepler
12.3935651,2.66,3.8896,916.6,677.0,49.68,5557.0,0.75,4.603,CONFIRMED,Kepler
43.84439721,2.87,6.802,615.2,531.0,18.77,5854.0,1.012,4.406,CONFIRMED,Kepler
3.341913228,21.55,3.813,725.3,1032.0,268.67,5295.0,0.811,4.551,FALSE POSITIVE,Kepler
1.626630225,32.43,2.1145,1620.6,1547.0,1355.88,5735.0,0.973,4.41,FALSE POSITIVE,Kepler
2.711504086,3.12,3.0099,837.5,1420.0,960.79,6214.0,1.076,4.442,CONFIRMED,Kepler
7.21203748,3.32,4.0491,950.4,1025.0,260.58,6214.0,1.076,4.442,CONFIRMED,Kepler
14.1798187,1.88,2.505,459.9,711.0,60.35,5799.0,0.878,4.539,FALSE POSITIVE,Kepler
8.47237911,2.59,2.7245,1123.5,751.0,75.44,5354.0,0.788,4.587,CONFIRMED,Kepler
60.4189369,2.36,5.039,931.3,390.0,5.49,5354.0,0.788,4.587,CONFIRMED,Kepler
12.611904345,7.4,5.1497,6105.6,753.0,76.15,5795.0,0.919,4.508,CONFIRMED,Kepler
1.433769925,46.58,1.8868,1976.3,1920.0,3209.29,6017.0,1.339,4.22,FALSE POSITIVE,Kepler
10.31872301,28.59,3.836,871.7,876.0,139.26,5927.0,1.06,4.409,FALSE POSITIVE,Kepler
2.539183147,2.06,2.4282,382.1,1332.0,743.09,5519.0,1.062,4.35,CONFIRMED,Kepler
6.770300385,2.77,2.0844,1304.0,812.0,102.87,5653.0,0.679,4.656,CONFIRMED,Kepler
