orbital_period,planet_radius,transit_duration,transit_depth,equilibrium_temp,insolation_flux,stellar_teff,stellar_radius,stellar_logg,label,survey
16.3413889,2.629079,5.3764481,372.0970618,777.2060824,86.231465,5991.11,1.12506,4.37711,1,TESS
1.790518325,32.19,3.34624,61542.0,1850.0,2761.65,6586.0,1.219,4.319,0,Kepler
15.3825394,2.14,3.815,550.5,714.0,61.61,5896.0,0.914,4.516,1,Kepler
3.179267286,1.21,1.0246,200.9,1101.0,347.01,5511.0,0.857,4.554,1,Kepler
1.59782,3.59995,1.49,1713.69,1548.0,955.676,5037.6,0.79,4.72,0,TESS
3.80509,8.57193,3.347,1280.0,1644.0,1214.11,6555.5,2.35,3.83,0,TESS
3.105507835,2.68,1.7458,904.6,980.0,217.91,4989.0,0.791,4.585,1,Kepler
569.934135,38.98,4.1904,18904.0,296.0,1.81,5367.0,2.057,3.783,0,Kepler
12.4285576,2.22,13.98,620.1,669.0,47.26,5492.0,0.752,4.604,0,Kepler
3.518356021,64.49,6.90375,316750.0,1266.0,606.41,6201.0,0.989,4.472,0,Kepler
3.0566277,12.5182693,2.3926375,12517.5203529,1265.7755651,606.6634527,5735.0,1.03865,4.41,1,TESS
53.44944498,5.82,5.3091,3437.0,486.0,13.23,5919.0,1.0,4.485,1,Kepler
4.6886342,3.36071,2.651,1469.0,946.0,133.083,4954.0,0.87,4.47,1,TESS
0.7088055,41.08,3.6789,17575.0,2035.0,4055.22,5989.0,0.908,4.5,0,Kepler
0.76757669,34.23,2.04757,157610.0,1530.0,1294.42,5182.0,0.627,4.635,0,Kepler
3.2573898,12.3569361,3.1400826,13770.1931364,1237.7606776,554.7122128,5698.38,1.0461299,4.40322,1,TESS
4.2342153,7.0962994,2.5166257,6137.4069869,940.7111326,185.0743088,5061.9,0.859778,4.49667,1,TESS
0.705816203,15.33,5.55,149.0,2109.0,4650.24,6106.0,0.966,4.487,0,Kepler
51.3283527,3.06,9.357,692.3,546.0,21.06,6119.0,1.119,4.353,1,Kepler
